Wavenumber,Intensity
2329.5861,91.609755
2333.3135,91.729743
2337.0408,91.690774
2340.7682,91.569828
2344.4955,91.303573
2348.2228,91.455925
2351.9502,91.976463
2355.6775,92.194523
2359.4049,91.960230
2363.1322,91.725191
2366.8595,91.528834
2370.5869,91.363987
2374.3142,91.282165
2378.0415,91.248016
2381.7689,91.285604
2385.4962,91.352364
2389.2236,91.400826
2392.9509,91.390409
2396.6782,91.342494
2400.4056,91.364324
2404.1329,91.453120
2407.8602,91.487547
2411.5876,91.469117
2415.3149,91.461962
2419.0423,91.482503
2422.7696,91.509166
2426.4969,91.520269
2430.2243,91.488085
2433.9516,91.472021
2437.6789,91.468876
2441.4063,91.487559
2445.1336,91.506580
2448.8610,91.493343
2452.5883,91.416691
2456.3156,91.386105
2460.0430,91.429777
2463.7703,91.474074
2467.4976,91.467535
2471.2250,91.456739
2474.9523,91.429333
2478.6797,91.388159
2482.4070,91.414361
2486.1343,91.459788
2489.8617,91.417212
2493.5890,91.365840
2497.3164,91.360222
2501.0437,91.374479
2504.7710,91.404846
2508.4984,91.421123
2512.2257,91.377006
2515.9530,91.317200
2519.6804,91.290986
2523.4077,91.306315
2527.1351,91.273989
2530.8624,91.232836
2534.5897,91.233838
2538.3171,91.235237
2542.0444,91.193050
2545.7717,91.111104
2549.4991,91.094648
2553.2264,91.109586
2556.9538,91.047074
2560.6811,91.008449
2564.4084,90.963407
2568.1358,90.910482
2571.8631,90.888480
2575.5904,90.857650
2579.3178,90.799901
2583.0451,90.743947
2586.7725,90.685019
2590.4998,90.640056
2594.2271,90.609337
2597.9545,90.588228
2601.6818,90.540773
2605.4091,90.466379
2609.1365,90.391081
2612.8638,90.328165
2616.5912,90.280624
2620.3185,90.218180
2624.0458,90.186358
2627.7732,90.169169
2631.5005,90.079359
2635.2279,89.986862
2638.9552,89.924728
2642.6825,89.892051
2646.4099,89.872961
2650.1372,89.847841
2653.8645,89.792469
2657.5919,89.757739
2661.3192,89.759238
2665.0466,89.794355
2668.7739,89.821923
2672.5012,89.811636
2676.2286,89.774777
2679.9559,89.703751
2683.6832,89.643570
2687.4106,89.637763
2691.1379,89.597615
2694.8653,89.525911
2698.5926,89.498920
2702.3199,89.477891
